year,class,type,level,hours,main,assistant,comment,url
2021-2022,Optimisation,CM,L3,36,Guillaume Garrigos,"Yves Capdeboscq, Maxime Laborde",,
,Optimization for Machine Learning,CM,M2,36,Guillaume Garrigos,,,M2_optimization
,Optimisation,TD,M1,30,Yves Achdou,Guillaume Garrigos,,
,Calcul Différentiel,TD,L3,36,Alessandro Zilio,"Jean-Yves Ducloux, Guillaume Garrigos",,
2020-2021,Optimisation,CM-TD-TP,L3,78,Guillaume Garrigos,"Guillaume Garrigos, Maxime Laborde",,
,Optimization for Machine Learning,CM,M2,36,Guillaume Garrigos,,,M2_optimization
,Théorie de l’Information,TD,M1,36,Antoine Chambert-Loir,Guillaume Garrigos,,
,Analyse Numérique Matricielle,TD-TP,L3,42,Matthieu Bonnivard,"Guillaume Garrigos, Julien Trévisan",,
2019-2020,Optimisation,CM-TD-TP,L3,78,Guillaume Garrigos,"Adina Ciomaga, Guillaume Garrigos, Paul Laurain",,
,Optimization for Machine Learning,CM,M2,36,Guillaume Garrigos,,,M2_optimization
,Théorie de l’Information,TD,M1,36,Antoine Chambert-Loir,Guillaume Garrigos,,
,Analyse Numérique Matricielle,TD-TP,L3,42,Matthieu Bonnivard,"Guillaume Garrigos, Julien Trévisan",,
2018-2019,Optimisation,TD,L3,36,François Jouve,"Guillaume Garrigos, Paul Laurain",,
,Théorie de l’Information,TD,M1,36,Antoine Chambert-Loir,Guillaume Garrigos,,
,Analyse Numérique Matricielle,TD-TP,L3,54,François Jouve,"Matthieu Bonnivard, Guillaume Garrigos, Houzhi Li",,
2016-2017,Machine Learning,TP,M,8,Lorenzo Rosasco,"Raffaelo Camoriano, Luigi Carratino, Guillaume Garrigos",Part of the RegML 2017 Summer School,http://lcsl.mit.edu/courses/regml/regml2017/#syllabus
2014-2015,Algèbre Linéaire,CM-TD,L1,128,Guillaume Garrigos,,,
2012-2013,Algèbre Linéaire,CM-TD,L1,64,Guillaume Garrigos,,,
